state_,city,total,population
MO,Warrensburg,1,19739
OH,Warrensville Heights,1,13336
VA,Warrenton,1,9843
RI,Warwick,2,81855
TX,Watauga,1,24179
NY,Watertown,2,27250
WI,Wauwatosa,1,47126
TX,Waxahachie,1,31756
MN,Wayzata,1,4166
TX,Weatherford,1,27234
TX,Webster,2,10993
WA,Wenatchee,1,32950
UT,West Bountiful,1,5394
CA,West Covina,2,107837
IA,West Des Moines,2,61266
CT,West Hartford,2,63288
CT,West Haven,1,55189
IN,West Lafayette,2,43999
TX,West Lake Hills,1,3262
NY,West Nyack,1,3939
FL,West Palm Beach,1,103588
CA,West Sacramento,1,50747
VA,West Springfield,2,22897
MA,Westborough,1,4158
ME,Westbrook,1,17754
OH,Westerville,2,37540
IN,Westfield,2,33744
NJ,Westfield,2,30552
OH,Westlake,1,32469
CA,Westlake Village,1,8471
MD,Westminster,5,18646
CA,Westminster,5,91719
CO,Westminster,5,110598
FL,Weston,1,68423
CT,Wethersfield,1,26510
CO,Wheat Ridge,1,30863
MD,Wheaton,3,50688
NY,White Plains,2,57790
OH,Whitehall,2,18521
CA,Whittier,2,86688
KS,Wichita,6,387147
TX,Wichita Falls,1,104926
VA,Williamsburg,1,14754
OH,Willoughby,1,22433
PA,Willow Grove,1,15545
NC,Wilmington,4,111998
DE,Wilmington,4,71549
OR,Wilsonville,1,20837
VA,Winchester,1,27168
FL,Windermere,1,3106
FL,Winter Garden,2,37955
FL,Winter Haven,1,35835
FL,Winter Park,1,29182
FL,Winter Springs,1,33973
NC,Winterville,1,9464
MA,Woburn,1,39104
VA,Woodbridge,4,4448
NJ,Woodbridge,4,19822
OR,Woodburn,1,24496
MN,Woodbury,2,65667
MI,Woodhaven,1,12645
WA,Woodinville,1,11373
OH,Wooster,1,26551
MA,Worcester,1,183382
PA,Wyncote,1,3207
OH,Xenia,1,26002
NY,Yonkers,1,199435
PA,York,3,43853
OH,Youngstown,1,65573
CA,Yuba City,1,66038
AZ,Yuma,2,93812
OH,Zanesville,1,25470
